Image,Plot,Date_Index,Date,Variety,Cover,Mean_Green
101A_20210708,101A,20210708,07/08/2021,Oat,Fallow,0.34592434998510935
101B_20210708,101B,20210708,07/08/2021,Oat,Post,0.34324593727417135
101C_20210708,101C,20210708,07/08/2021,Oat,Under,0.345617650012035
102A_20210708,102A,20210708,07/08/2021,Oat,Fallow,0.34164757825835473
102B_20210708,102B,20210708,07/08/2021,Oat,Post,0.34371624044740673
102C_20210708,102C,20210708,07/08/2021,Oat,Under,0.33853889324748
103A_20210708,103A,20210708,07/08/2021,Oat,Fallow,0.35185494078877605
103B_20210708,103B,20210708,07/08/2021,Oat,Post,0.36904580414955607
103C_20210708,103C,20210708,07/08/2021,Oat,Under,0.35726535271606863
104A_20210708,104A,20210708,07/08/2021,Oat,Fallow,0.34671221820472453
104B_20210708,104B,20210708,07/08/2021,Oat,Post,0.3484706712392467
104C_20210708,104C,20210708,07/08/2021,Oat,Under,0.341900377564044
105A_20210708,105A,20210708,07/08/2021,Oat,Fallow,0.36175914119475194
105B_20210708,105B,20210708,07/08/2021,Oat,Post,0.36057279527448893
105C_20210708,105C,20210708,07/08/2021,Oat,Under,0.3553066544445447
106A_20210708,106A,20210708,07/08/2021,Soy,Fallow,0.3692747584204141
106B_20210708,106B,20210708,07/08/2021,Soy,Post,0.3891880915885651
106C_20210708,106C,20210708,07/08/2021,Soy,Under,0.3820343187077424
107A_20210708,107A,20210708,07/08/2021,Oat,Fallow,0.3489543161215955
107B_20210708,107B,20210708,07/08/2021,Oat,Post,0.35508413348659335
107C_20210708,107C,20210708,07/08/2021,Oat,Under,0.3488624792590655
108A_20210708,108A,20210708,07/08/2021,Oat,Fallow,0.3417800684920672
108B_20210708,108B,20210708,07/08/2021,Oat,Post,0.34008196188721895
108C_20210708,108C,20210708,07/08/2021,Oat,Under,0.3410160569279958
109A_20210708,109A,20210708,07/08/2021,Oat,Fallow,0.3490602895440142
109B_20210708,109B,20210708,07/08/2021,Oat,Post,0.34916478228514364
109C_20210708,109C,20210708,07/08/2021,Oat,Under,0.3496061231649146
110A_20210708,110A,20210708,07/08/2021,Oat,Fallow,0.3337382939079326
110B_20210708,110B,20210708,07/08/2021,Oat,Post,0.3392025521565859
110C_20210708,110C,20210708,07/08/2021,Oat,Under,0.33579009034336005
201A_20210708,201A,20210708,07/08/2021,Oat,Under,0.34763901929613206
201B_20210708,201B,20210708,07/08/2021,Oat,Fallow,0.3457705261719572
201C_20210708,201C,20210708,07/08/2021,Oat,Post,0.34845184920349226
202A_20210708,202A,20210708,07/08/2021,Oat,Under,0.3649752254930932
202B_20210708,202B,20210708,07/08/2021,Oat,Fallow,0.3536160296369763
202C_20210708,202C,20210708,07/08/2021,Oat,Post,0.36468843971316245
203A_20210708,203A,20210708,07/08/2021,Soy,Under,0.40380576988766326
203B_20210708,203B,20210708,07/08/2021,Soy,Fallow,0.390681998044612
203C_20210708,203C,20210708,07/08/2021,Soy,Post,0.39536485878278615
204A_20210708,204A,20210708,07/08/2021,Oat,Under,0.3512629474433483
204B_20210708,204B,20210708,07/08/2021,Oat,Fallow,0.3497290395175312
204C_20210708,204C,20210708,07/08/2021,Oat,Post,0.3534756270134609
205A_20210708,205A,20210708,07/08/2021,Oat,Under,0.3476921557125768
205B_20210708,205B,20210708,07/08/2021,Oat,Fallow,0.3489839523248214
205C_20210708,205C,20210708,07/08/2021,Oat,Post,0.3495042056969384
206A_20210708,206A,20210708,07/08/2021,Oat,Under,0.3427785307129473
206B_20210708,206B,20210708,07/08/2021,Oat,Fallow,0.356986512807989
206C_20210708,206C,20210708,07/08/2021,Oat,Post,0.34797324689207415
207A_20210708,207A,20210708,07/08/2021,Oat,Under,0.3475956901719027
207B_20210708,207B,20210708,07/08/2021,Oat,Fallow,0.3572320087030479
207C_20210708,207C,20210708,07/08/2021,Oat,Post,0.36867689550015614
208A_20210708,208A,20210708,07/08/2021,Oat,Under,0.3558268477174232
208B_20210708,208B,20210708,07/08/2021,Oat,Fallow,0.3538357089031711
208C_20210708,208C,20210708,07/08/2021,Oat,Post,0.3580871193669372
209A_20210708,209A,20210708,07/08/2021,Oat,Under,0.34922488383042116
209B_20210708,209B,20210708,07/08/2021,Oat,Fallow,0.35210573871652007
209C_20210708,209C,20210708,07/08/2021,Oat,Post,0.34756984868697427
210A_20210708,210A,20210708,07/08/2021,Oat,Under,0.3528361136607597
210B_20210708,210B,20210708,07/08/2021,Oat,Fallow,0.3706672348101825
210C_20210708,210C,20210708,07/08/2021,Oat,Post,0.3602767855465939
301A_20210708,301A,20210708,07/08/2021,Oat,Post,0.34253459879587406
301B_20210708,301B,20210708,07/08/2021,Oat,Fallow,0.3416508287687014
301C_20210708,301C,20210708,07/08/2021,Oat,Under,0.35025644885374957
302A_20210708,302A,20210708,07/08/2021,Oat,Post,0.34947694652486383
302B_20210708,302B,20210708,07/08/2021,Oat,Fallow,0.35138280423392254
302C_20210708,302C,20210708,07/08/2021,Oat,Under,0.3533129315652588
303A_20210708,303A,20210708,07/08/2021,Soy,Post,0.3699416763607718
303B_20210708,303B,20210708,07/08/2021,Soy,Fallow,0.400652652388725
303C_20210708,303C,20210708,07/08/2021,Soy,Under,0.3951947123586395
304A_20210708,304A,20210708,07/08/2021,Oat,Post,0.3491885870186921
304B_20210708,304B,20210708,07/08/2021,Oat,Fallow,0.34818048187121853
304C_20210708,304C,20210708,07/08/2021,Oat,Under,0.35826843684537074
305A_20210708,305A,20210708,07/08/2021,Oat,Post,0.3563718273627104
305B_20210708,305B,20210708,07/08/2021,Oat,Fallow,0.35422300335676804
305C_20210708,305C,20210708,07/08/2021,Oat,Under,0.3590809430088701
306A_20210708,306A,20210708,07/08/2021,Oat,Post,0.3474714974140149
306B_20210708,306B,20210708,07/08/2021,Oat,Fallow,0.3524628686354908
