Image,Plot,Date_Index,Date,Variety,Cover,Green_Avg,EXG_Avg_Image,EXGR_Avg_Image,GLI_Avg_Image,VARI_Avg_Image,EXG_Local_Thresh,EXGR_Local_Thresh,GLI_Local_Thresh,VARI_Local_Thresh,EXG_Global_Thresh,EXGR_Global_Thresh,GLI_Global_Thresh,VARI_Global_Thresh
101A_20210708,101A,20210708,7/8/2021,Oat,Fallow,0.34592435,0.037808012,-0.154818773,0.024490324,-0.067624937,-0.291015625,-0.807421875,-0.32421875,-0.1640625,0.306640625,0.205078125,0.16015625,-0.08984375
101B_20210708,101B,20210708,7/8/2021,Oat,Post,0.343245937,0.029748662,-0.198514453,0.017911384,-0.108566739,-0.267578125,-0.807421875,-0.30078125,-0.21484375,0.306640625,0.205078125,0.16015625,-0.08984375
101C_20210708,101C,20210708,7/8/2021,Oat,Under,0.34561765,0.036861389,-0.183141247,0.023595664,-0.099680851,-0.267578125,-0.786328125,-0.30078125,-0.185546875,0.306640625,0.205078125,0.16015625,-0.08984375
102A_20210708,102A,20210708,7/8/2021,Oat,Fallow,0.341647578,0.024949968,-0.217639005,0.014853761,-0.123433398,-0.244140625,-0.765234375,-0.26953125,-0.248046875,0.306640625,0.205078125,0.16015625,-0.08984375
102B_20210708,102B,20210708,7/8/2021,Oat,Post,0.34371624,0.031161983,-0.207395726,0.017688686,-0.11449736,-0.291015625,-0.849609375,-0.31640625,-0.294921875,0.306640625,0.205078125,0.16015625,-0.08984375
102C_20210708,102C,20210708,7/8/2021,Oat,Under,0.338538893,0.015632955,-0.234763933,0.006084484,-0.132596879,-0.291015625,-0.870703125,-0.32421875,-0.29296875,0.306640625,0.205078125,0.16015625,-0.08984375
103A_20210708,103A,20210708,7/8/2021,Oat,Fallow,0.351854941,0.055566631,-0.197915304,0.036617099,-0.120853693,-0.232421875,-0.744140625,-0.26171875,-0.251953125,0.306640625,0.205078125,0.16015625,-0.08984375
103B_20210708,103B,20210708,7/8/2021,Oat,Post,0.369045804,0.107156702,-0.079942708,0.072160669,-0.037143146,0.166015625,-0.744140625,-0.28515625,-0.126953125,0.306640625,0.205078125,0.16015625,-0.08984375
103C_20210708,103C,20210708,7/8/2021,Oat,Under,0.357265353,0.071805703,-0.150800382,0.047051365,-0.08392521,-0.255859375,-0.807421875,-0.29296875,-0.259765625,0.306640625,0.205078125,0.16015625,-0.08984375
104A_20210708,104A,20210708,7/8/2021,Oat,Fallow,0.346712218,0.040140874,-0.188968924,0.025893786,-0.106508768,-0.255859375,-0.765234375,-0.28515625,-0.205078125,0.306640625,0.205078125,0.16015625,-0.08984375
104B_20210708,104B,20210708,7/8/2021,Oat,Post,0.348470671,0.045413219,-0.182090237,0.030445683,-0.10337828,-0.255859375,-0.765234375,-0.27734375,-0.19140625,0.306640625,0.205078125,0.16015625,-0.08984375
104C_20210708,104C,20210708,7/8/2021,Oat,Under,0.341900378,0.025705352,-0.206816987,0.016010668,-0.116649138,-0.267578125,-0.786328125,-0.30078125,-0.234375,0.306640625,0.205078125,0.16015625,-0.08984375
105A_20210708,105A,20210708,7/8/2021,Oat,Fallow,0.361759141,0.085290082,-0.112145117,0.058345015,-0.056914212,0.142578125,-0.701953125,-0.26171875,-0.140625,0.306640625,0.205078125,0.16015625,-0.08984375
