Image,Plot,Date_Index,Date,Variety,Cover,Mean_Green,EXG_Mean_Image,EXGR_Mean_Image,GLI_Mean_Image,VARI_Mean_Image,EXG_Local_Thresh,EXGR_Local_Thresh,GLI_Local_Thresh,VARI_Local_Thresh
101A_20210708,101A,20210708,7/8/2021,Oat,Fallow,117.7571859,0.037808012,-0.154818773,0.024490324,-0.067624937,-0.291015625,-0.8074218749999998,-0.32421875,-0.1640625
101B_20210708,101B,20210708,7/8/2021,Oat,Post,116.8591502,0.029748662,-0.198514453,0.017911384,-0.108566739,-0.267578125,-0.8074218749999998,-0.30078125,-0.21484375
101C_20210708,101C,20210708,7/8/2021,Oat,Under,117.6325681,0.036861389,-0.183141247,0.023595664,-0.099680851,-0.267578125,-0.7863281249999998,-0.30078125,-0.185546875
102A_20210708,102A,20210708,7/8/2021,Oat,Fallow,119.0253119,0.024949968,-0.217639005,0.014853761,-0.123433398,-0.244140625,-0.7652343749999998,-0.26953125,-0.248046875
102B_20210708,102B,20210708,7/8/2021,Oat,Post,116.3981183,0.031161983,-0.207395726,0.017688686,-0.11449736,-0.291015625,-0.8496093749999998,-0.31640625,-0.294921875
102C_20210708,102C,20210708,7/8/2021,Oat,Under,113.4049733,0.015632955,-0.234763933,0.006084484,-0.132596879,-0.291015625,-0.8707031249999998,-0.32421875,-0.29296875
103A_20210708,103A,20210708,7/8/2021,Oat,Fallow,110.6103298,0.055566631,-0.197915304,0.036617099,-0.120853693,-0.232421875,-0.7441406249999998,-0.26171875,-0.251953125
103B_20210708,103B,20210708,7/8/2021,Oat,Post,118.479795,0.107156702,-0.079942708,0.072160669,-0.037143146,0.166015625,-0.7441406249999998,-0.28515625,-0.126953125
103C_20210708,103C,20210708,7/8/2021,Oat,Under,117.6974774,0.071805703,-0.150800382,0.047051365,-0.08392521,-0.255859375,-0.8074218749999998,-0.29296875,-0.259765625
104A_20210708,104A,20210708,7/8/2021,Oat,Fallow,117.6918564,0.040140874,-0.188968924,0.025893786,-0.106508768,-0.255859375,-0.7652343749999998,-0.28515625,-0.205078125
