Image,Plot,X,Y,Date_Index,Date,Variety,Cover,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,Predicted_ALL_MODE,Predicted_ZERO_MODE,Predicted_GLOBAL_ZERO_MODE,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value
302A_20210708,302A,1162.0,330.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0444785276073619,-0.0969325153374231,0.0329920364050056,-0.003875968992248,0.3496932515337423,0.348159509202454,0.3021472392638036
302A_20210708,302A,659.0,277.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0349999999999999,-0.1135,0.0260223048327137,-0.0189873417721519,0.3525,0.345,0.3025
302A_20210708,302A,1255.0,34.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.1710037174721189,-0.0319702602230483,0.1229946524064171,-0.0532544378698224,0.4237918215613382,0.3903345724907063,0.1858736059479553
302A_20210708,302A,757.0,1186.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0.1977186311787072,0.0220532319391636,0.1413043478260869,-0.0184049079754601,0.4106463878326996,0.3992395437262357,0.1901140684410646
302A_20210708,302A,1258.0,337.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0.1437499999999999,0.0043749999999998,0.1040723981900452,0.0185185185185185,0.371875,0.38125,0.246875
302A_20210708,302A,694.0,1010.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.073394495412844,-0.1596330275229358,0.054054054054054,-0.1147540983606557,0.4220183486238532,0.3577981651376147,0.2201834862385321
302A_20210708,302A,545.0,918.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0465116279069767,-0.1174418604651161,0.0344827586206896,-0.0405405405405405,0.3662790697674418,0.3488372093023256,0.2848837209302325
302A_20210708,302A,992.0,1187.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0948905109489051,-0.1021897810218977,0.0695187165775401,-0.0684931506849315,0.4014598540145985,0.364963503649635,0.2335766423357664
302A_20210708,302A,232.0,342.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-0.0141509433962264,-0.1896226415094339,-0.0106508875739644,-0.0833333333333333,0.360062893081761,0.3286163522012578,0.3113207547169811
302A_20210708,302A,29.0,360.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.1165413533834586,-0.0744360902255637,0.084931506849315,-0.0547945205479452,0.4022556390977443,0.3721804511278195,0.225563909774436
302A_20210708,302A,1263.0,314.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0.167082294264339,0.0987531172069823,0.1202872531418312,0.1445086705202312,0.3266832917705736,0.3890274314214463,0.28428927680798
302A_20210708,302A,1001.0,592.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.125,-0.1999999999999999,0.0909090909090909,-0.1666666666666666,0.5,0.375,0.125
302A_20210708,302A,181.0,859.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0415430267062314,-0.1181008902077152,0.0308370044052863,-0.0354609929078014,0.3620178041543027,0.3471810089020771,0.2908011869436201
302A_20210708,302A,1003.0,1042.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0402298850574712,-0.1869731800766285,0.0298719772403982,-0.1231343283582089,0.4099616858237548,0.346743295019157,0.2432950191570881
302A_20210708,302A,984.0,1070.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0344827586206896,-0.1420689655172413,0.0256410256410256,-0.0634920634920634,0.3724137931034483,0.3448275862068966,0.2827586206896552
302A_20210708,302A,731.0,290.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0561224489795918,-0.220408163265306,0.0415094339622641,-0.1610169491525423,0.4489795918367347,0.3520408163265306,0.1989795918367347
302A_20210708,302A,459.0,1020.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0680628272251308,-0.1183246073298429,0.0501930501930501,-0.064516129032258,0.387434554973822,0.3560209424083769,0.256544502617801
302A_20210708,302A,961.0,802.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0282258064516128,-0.1709677419354839,0.021021021021021,-0.0964912280701754,0.3870967741935484,0.3427419354838709,0.2701612903225806
302A_20210708,302A,1215.0,299.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0844594594594595,-0.1263513513513511,0.0620347394540942,-0.0875,0.4087837837837837,0.3614864864864865,0.2297297297297297
302A_20210708,302A,1.0,734.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0126353790613718,-0.2032490974729239,0.0094466936572199,-0.1240310077519379,0.3953068592057762,0.3375451263537906,0.2671480144404332
302A_20210708,302A,1000.0,124.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0147058823529412,-0.2235294117647058,0.0109890109890109,-0.1470588235294117,0.4117647058823529,0.3382352941176471,0.25
302A_20210708,302A,1184.0,148.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0944881889763779,-0.0587926509186353,0.0692307692307692,-0.0111731843575419,0.3700787401574803,0.3648293963254593,0.2650918635170604
302A_20210708,302A,608.0,38.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0174966352624496,-0.1238223418573348,0.0130653266331658,-0.011070110701107,0.3432032301480484,0.3391655450874832,0.3176312247644683
302A_20210708,302A,792.0,14.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0042105263157894,-0.2092631578947367,0.0031545741324921,-0.1255813953488372,0.391578947368421,0.3347368421052631,0.2736842105263158
302A_20210708,302A,1088.0,546.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.203125,-0.0520833333333333,0.1449814126394052,-0.0915492957746478,0.46875,0.4010416666666667,0.1302083333333333
302A_20210708,302A,456.0,777.0,20210708,07/08/2021,Oat,Post,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0.0147058823529412,-0.3058823529411765,0.0109890109890109,-0.2142857142857142,0.4705882352941176,0.3382352941176471,0.1911764705882352
302A_20210708,302A,1063.0,1006.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0698254364089775,-0.0937655860349126,0.0514705882352941,-0.0327868852459016,0.371571072319202,0.3566084788029925,0.2718204488778055
302A_20210708,302A,1222.0,441.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0937499999999999,-0.1687499999999999,0.0687022900763358,-0.1333333333333333,0.4479166666666667,0.3645833333333333,0.1875
302A_20210708,302A,492.0,537.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0511627906976744,-0.1519379844961237,0.0378874856486796,-0.0914826498422713,0.3953488372093023,0.3503875968992248,0.2542635658914728
302A_20210708,302A,289.0,62.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3206997084548104,0.2425655976676384,0.2226720647773279,0.1126760563380281,0.3702623906705539,0.4402332361516035,0.1895043731778425
403C_20210708,403C,607.0,27.0,20210708,07/08/2021,Oat,Post,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0.024390243902439,-0.2658536585365854,0.0181818181818181,-0.1875,0.4512195121951219,0.3414634146341463,0.2073170731707317
403C_20210708,403C,375.0,1227.0,20210708,07/08/2021,Oat,Post,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1103448275862069,-0.3834482758620688,-0.0851063829787234,-0.2711864406779661,0.4068965517241379,0.296551724137931,0.296551724137931
403C_20210708,403C,116.0,922.0,20210708,07/08/2021,Oat,Post,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213903743315507,-0.3090909090909088,-0.0161290322580645,-0.2121212121212121,0.4385026737967914,0.3262032085561497,0.2352941176470588
403C_20210708,403C,1228.0,1202.0,20210708,07/08/2021,Oat,Post,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0.0387596899224805,-0.0925064599483203,0.0287907869481765,0.0137931034482758,0.3410852713178294,0.3462532299741602,0.3126614987080103
403C_20210708,403C,1190.0,1147.0,20210708,07/08/2021,Oat,Post,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1215469613259669,-0.501657458563536,-0.094017094017094,-0.3434343434343434,0.4806629834254143,0.292817679558011,0.2265193370165746
403C_20210708,403C,454.0,634.0,20210708,07/08/2021,Oat,Post,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0.0054347826086956,-0.1235507246376811,0.0040705563093622,0.0108695652173913,0.3315217391304347,0.3351449275362319,0.3333333333333333
403C_20210708,403C,1172.0,211.0,20210708,07/08/2021,Oat,Post,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0.0206896551724137,-0.1379310344827586,0.0154373927958833,-0.0409356725146198,0.3563218390804598,0.3402298850574712,0.3034482758620689
403C_20210708,403C,1111.0,576.0,20210708,07/08/2021,Oat,Post,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.04296875,-0.15625,0.0318840579710144,-0.0901639344262295,0.390625,0.34765625,0.26171875
403C_20210708,403C,931.0,554.0,20210708,07/08/2021,Oat,Post,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0.0167938931297709,-0.1551145038167939,0.0125427594070695,-0.0636704119850187,0.3648854961832061,0.3389312977099236,0.2961832061068702
403C_20210708,403C,666.0,327.0,20210708,07/08/2021,Oat,Post,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0.0094786729857819,-0.1682464454976304,0.0070921985815602,-0.0755813953488372,0.3672985781990521,0.3364928909952606,0.2962085308056872
403C_20210708,403C,999.0,894.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.2560240963855421,0.1602409638554217,0.1804670912951167,0.0894736842105263,0.3674698795180723,0.4186746987951807,0.2138554216867469
403C_20210708,403C,1155.0,1028.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0.0936454849498327,-0.02876254180602,0.0686274509803921,0.0393700787401574,0.3478260869565217,0.3645484949832775,0.2876254180602006
403C_20210708,403C,152.0,1060.0,20210708,07/08/2021,Oat,Post,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0030395136778115,-0.2030395136778114,0.0022779043280182,-0.1172413793103448,0.3860182370820669,0.3343465045592705,0.2796352583586626
403C_20210708,403C,572.0,449.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0.1183035714285714,0.0223214285714286,0.0861788617886178,0.0913978494623656,0.3348214285714285,0.3727678571428571,0.2924107142857143
403C_20210708,403C,81.0,697.0,20210708,07/08/2021,Oat,Post,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1680672268907562,-0.4554621848739495,-0.131578947368421,-0.3488372093023256,0.4033613445378151,0.2773109243697479,0.3193277310924369
403C_20210708,403C,72.0,678.0,20210708,07/08/2021,Oat,Post,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0409836065573769,-0.256830601092896,-0.031055900621118,-0.1554054054054054,0.3825136612021858,0.319672131147541,0.2978142076502732
403C_20210708,403C,862.0,191.0,20210708,07/08/2021,Oat,Post,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0.0169491525423728,-0.2135593220338983,0.0126582278481012,-0.1379310344827586,0.4067796610169492,0.3389830508474576,0.2542372881355932
403C_20210708,403C,62.0,316.0,20210708,07/08/2021,Oat,Post,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0781249999999999,-0.3687499999999999,-0.0597609561752988,-0.2555555555555555,0.4270833333333333,0.3072916666666667,0.265625
403C_20210708,403C,1171.0,281.0,20210708,07/08/2021,Oat,Post,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0.0338983050847457,-0.1197740112994351,0.0252100840336134,-0.028169014084507,0.3559322033898305,0.3446327683615819,0.2994350282485876
403C_20210708,403C,290.0,348.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.1329787234042553,-0.0515957446808509,0.0965250965250965,-0.0428571428571428,0.4015957446808511,0.3776595744680851,0.2207446808510638
403C_20210708,403C,343.0,500.0,20210708,07/08/2021,Oat,Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-2.225,-1.0,-1.1666666666666667,0.875,0.0,0.125
403C_20210708,403C,696.0,474.0,20210708,07/08/2021,Oat,Post,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.2208333333333332,0.0,-0.1363636363636363,0.3958333333333333,0.3333333333333333,0.2708333333333333
403C_20210708,403C,1161.0,311.0,20210708,07/08/2021,Oat,Post,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0744680851063829,-0.3914893617021276,-0.056910569105691,-0.2708333333333333,0.4468085106382978,0.3085106382978723,0.2446808510638297
403C_20210708,403C,1107.0,989.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.228021978021978,0.1373626373626374,0.1617933723196881,0.0979381443298969,0.3571428571428571,0.4093406593406593,0.2335164835164835
403C_20210708,403C,321.0,342.0,20210708,07/08/2021,Oat,Post,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0140845070422534,-0.2375586854460092,-0.0106007067137809,-0.1473684210526315,0.3943661971830985,0.3286384976525822,0.2769953051643192
403C_20210708,403C,675.0,946.0,20210708,07/08/2021,Oat,Post,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0.0611353711790392,-0.0650655021834062,0.0451612903225806,0.0277777777777777,0.3427947598253275,0.3537117903930131,0.3034934497816594
403C_20210708,403C,490.0,1002.0,20210708,07/08/2021,Oat,Post,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0628140703517587,-0.1562814070351758,0.046382189239332,-0.1047619047619047,0.4095477386934673,0.3542713567839196,0.236180904522613
403C_20210708,403C,331.0,50.0,20210708,07/08/2021,Oat,Post,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0.0312499999999999,-0.2083333333333333,0.0232558139534883,-0.14,0.4166666666666667,0.34375,0.2395833333333333
403C_20210708,403C,606.0,308.0,20210708,07/08/2021,Oat,Post,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0.0372881355932203,-0.1389830508474575,0.0277078085642317,-0.0620155038759689,0.3728813559322034,0.3457627118644067,0.2813559322033898
403C_20210708,403C,788.0,401.0,20210708,07/08/2021,Oat,Post,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0714285714285714,-0.3202380952380952,-0.0545454545454545,-0.2142857142857142,0.3988095238095238,0.3095238095238095,0.2916666666666667
309C_20210708,309C,1128.0,88.0,20210708,07/08/2021,Oat,Under,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0.14,0.0384000000000002,0.1014492753623188,0.0803571428571428,0.344,0.38,0.276
309C_20210708,309C,542.0,1008.0,20210708,07/08/2021,Oat,Under,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0746268656716418,-0.4417910447761193,-0.0570342205323193,-0.2991452991452991,0.4825870646766169,0.308457711442786,0.208955223880597
309C_20210708,309C,1006.0,830.0,20210708,07/08/2021,Oat,Under,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0375335120643431,-0.1120643431635388,0.0278884462151394,-0.0201342281879194,0.353887399463807,0.3458445040214477,0.3002680965147453
309C_20210708,309C,1026.0,806.0,20210708,07/08/2021,Oat,Under,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.15,-0.6599999999999999,-0.1168831168831168,-0.4047619047619047,0.5666666666666667,0.2833333333333333,0.15
309C_20210708,309C,94.0,74.0,20210708,07/08/2021,Oat,Under,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0.1265560165975103,-0.020746887966805,0.0920060331825037,0.0041666666666666,0.3734439834024896,0.3755186721991701,0.2510373443983402
309C_20210708,309C,48.0,380.0,20210708,07/08/2021,Oat,Under,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.1136363636363636,-0.0878787878787877,0.0828729281767955,-0.0675675675675675,0.4090909090909091,0.3712121212121212,0.2196969696969697
309C_20210708,309C,947.0,117.0,20210708,07/08/2021,Oat,Under,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.1181818181818182,-0.1390909090909091,0.086092715231788,-0.1197183098591549,0.45,0.3727272727272727,0.1772727272727272
309C_20210708,309C,865.0,1227.0,20210708,07/08/2021,Oat,Under,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.0555555555555555,-0.3543209876543209,-0.0422535211267605,-0.2439024390243902,0.4382716049382716,0.3148148148148148,0.2469135802469135
309C_20210708,309C,1219.0,921.0,20210708,07/08/2021,Oat,Under,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0.2038216560509554,0.01656050955414,0.1454545454545454,-0.0297029702970297,0.4203821656050955,0.4012738853503185,0.1783439490445859
309C_20210708,309C,1142.0,192.0,20210708,07/08/2021,Oat,Under,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0.1865671641791044,0.0597014925373133,0.1336898395721925,0.0416666666666666,0.373134328358209,0.3955223880597014,0.2313432835820895
309C_20210708,309C,1199.0,526.0,20210708,07/08/2021,Oat,Under,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5714285714285714,-1.6285714285714283,-0.5,-0.7142857142857143,0.8571428571428571,0.1428571428571428,0.0
309C_20210708,309C,257.0,1200.0,20210708,07/08/2021,Oat,Under,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0690909090909091,-0.1905454545454546,0.0509383378016085,-0.1411042944785276,0.44,0.3563636363636364,0.2036363636363636
309C_20210708,309C,475.0,480.0,20210708,07/08/2021,Oat,Under,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0402010050251256,-0.2603015075376885,0.0298507462686567,-0.1869918699186991,0.4623115577889447,0.3467336683417085,0.1909547738693467
309C_20210708,309C,23.0,501.0,20210708,07/08/2021,Oat,Under,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-2.4,-1.0,-1.0,1.0,0.0,0.0
309C_20210708,309C,1175.0,245.0,20210708,07/08/2021,Oat,Under,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0360169491525424,-0.1495762711864406,0.026771653543307,-0.0754716981132075,0.3792372881355932,0.3453389830508475,0.2754237288135593
309C_20210708,309C,348.0,390.0,20210708,07/08/2021,Oat,Under,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0263157894736842,-0.1502024291497974,0.0196078431372549,-0.0666666666666666,0.3704453441295546,0.3421052631578947,0.2874493927125506
309C_20210708,309C,505.0,123.0,20210708,07/08/2021,Oat,Under,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0537974683544303,-0.108860759493671,0.0398126463700234,-0.036231884057971,0.3670886075949367,0.3512658227848101,0.2816455696202531
309C_20210708,309C,798.0,482.0,20210708,07/08/2021,Oat,Under,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0.2205882352941176,0.0921568627450983,0.156794425087108,0.0423728813559322,0.3823529411764705,0.4068627450980392,0.2107843137254902
309C_20210708,309C,1023.0,752.0,20210708,07/08/2021,Oat,Under,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0083507306889352,-0.2605427974947808,0.00625,-0.178988326848249,0.4321503131524008,0.336116910229645,0.231732776617954
309C_20210708,309C,939.0,529.0,20210708,07/08/2021,Oat,Under,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0457142857142857,-0.1763809523809522,0.0338983050847457,-0.1152416356877323,0.4076190476190476,0.3485714285714286,0.2438095238095238
309C_20210708,309C,917.0,511.0,20210708,07/08/2021,Oat,Under,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0.1501154734411085,0.0096997690531177,0.1085141903171953,0.0179372197309417,0.3741339491916859,0.3833718244803695,0.2424942263279445
309C_20210708,309C,1169.0,712.0,20210708,07/08/2021,Oat,Under,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.0467289719626168,-0.2785046728971963,-0.0354609929078014,-0.1777777777777777,0.3925233644859813,0.3177570093457944,0.2897196261682243
309C_20210708,309C,812.0,538.0,20210708,07/08/2021,Oat,Under,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.1515151515151514,-0.1434343434343435,0.1094890510948905,-0.136986301369863,0.4848484848484848,0.3838383838383838,0.1313131313131313
309C_20210708,309C,386.0,1090.0,20210708,07/08/2021,Oat,Under,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.3048780487804877,0.2617886178861786,0.2124645892351274,0.1691176470588235,0.3414634146341463,0.4349593495934959,0.2235772357723577
309C_20210708,309C,1218.0,780.0,20210708,07/08/2021,Oat,Under,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0451612903225806,-0.1062365591397849,0.0334928229665071,-0.0209424083769633,0.3569892473118279,0.3483870967741935,0.2946236559139785
309C_20210708,309C,999.0,1195.0,20210708,07/08/2021,Oat,Under,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,-1.3199999999999998,-0.3333333333333333,-0.6,0.8,0.2,0.0
309C_20210708,309C,128.0,252.0,20210708,07/08/2021,Oat,Under,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0754716981132075,-0.2792452830188678,0.0555555555555555,-0.2051282051282051,0.5094339622641509,0.3584905660377358,0.1320754716981132
309C_20210708,309C,367.0,686.0,20210708,07/08/2021,Oat,Under,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.0038022813688212,-0.1673003802281369,0.0028490028490028,-0.0679611650485436,0.3612167300380228,0.3346007604562737,0.3041825095057034
309C_20210708,309C,242.0,129.0,20210708,07/08/2021,Oat,Under,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.0228571428571427,-0.305142857142857,-0.0172413793103448,-0.2087912087912088,0.4342857142857143,0.3257142857142857,0.24
309C_20210708,309C,90.0,411.0,20210708,07/08/2021,Oat,Under,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0.1744680851063829,0.0595744680851062,0.1253822629969418,0.0588235294117647,0.3617021276595745,0.3914893617021276,0.2468085106382978
207A_20210708,207A,306.0,946.0,20210708,07/08/2021,Oat,Under,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0.0025316455696202,-0.2339240506329113,0.0018975332068311,-0.1518324607329843,0.4075949367088607,0.3341772151898734,0.2582278481012658
207A_20210708,207A,425.0,1219.0,20210708,07/08/2021,Oat,Under,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0211132437619961,-0.2618042226487523,-0.0159189580318379,-0.1701244813278008,0.4049904030710173,0.3262955854126679,0.2687140115163148
207A_20210708,207A,769.0,206.0,20210708,07/08/2021,Oat,Under,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.0361842105263157,-0.2078947368421051,0.0268948655256723,-0.1419753086419753,0.4210526315789473,0.3453947368421052,0.2335526315789473
