Image,Plot,Date_Index,Date,Variety,Cover,Green_Avg,EXG_Avg_Image,EXGR_Avg_Image,GLI_Avg_Image,VARI_Avg_Image,EXG_Local_Thresh,EXGR_Local_Thresh,GLI_Local_Thresh,VARI_Local_Thresh,EXG_Global_Thresh,EXGR_Global_Thresh,GLI_Global_Thresh,VARI_Global_Thresh,Vegetation_Fraction,Green_Avg_Vegetation,EXG_Avg_Vegetation,EXGR_Avg_Vegetation
101A_20210708,101A,20210708,7/8/2021,Oat,Fallow,0.34592435,0.037808012,-0.154818773,0.024490324,-0.067624937,-0.291015625,-0.807421875,-0.32421875,-0.1640625,0.306640625,0.205078125,0.16015625,-0.08984375,0.10386426546043748,0.4145016970187084,0.24350509105612542,0.1615433514833849
101B_20210708,101B,20210708,7/8/2021,Oat,Post,0.343245937,0.029748662,-0.198514453,0.017911384,-0.108566739,-0.267578125,-0.807421875,-0.30078125,-0.21484375,0.306640625,0.205078125,0.16015625,-0.08984375,0.09049190328305236,0.4178327887912592,0.2534983663737777,0.14785404623559695
101C_20210708,101C,20210708,7/8/2021,Oat,Under,0.34561765,0.036861389,-0.183141247,0.023595664,-0.099680851,-0.267578125,-0.786328125,-0.30078125,-0.185546875,0.306640625,0.205078125,0.16015625,-0.08984375,0.09994852146907912,0.4174605266547692,0.2523815799643071,0.15012703538617592
102A_20210708,102A,20210708,7/8/2021,Oat,Fallow,0.341647578,0.024949968,-0.217639005,0.014853761,-0.123433398,-0.244140625,-0.765234375,-0.26953125,-0.248046875,0.306640625,0.205078125,0.16015625,-0.08984375,0.06485029030515797,0.4145050420861669,0.2435151262585011,0.1272725317033404
102B_20210708,102B,20210708,7/8/2021,Oat,Post,0.34371624,0.031161983,-0.207395726,0.017688686,-0.11449736,-0.291015625,-0.849609375,-0.31640625,-0.294921875,0.306640625,0.205078125,0.16015625,-0.08984375,0.10254957370471818,0.4149002024550517,0.24470060736515617,0.14004055225639644
102C_20210708,102C,20210708,7/8/2021,Oat,Under,0.338538893,0.015632955,-0.234763933,0.006084484,-0.132596879,-0.291015625,-0.870703125,-0.32421875,-0.29296875,0.306640625,0.205078125,0.16015625,-0.08984375,0.08270562478299448,0.4128130198402306,0.23843905952069122,0.1286167930337321
103A_20210708,103A,20210708,7/8/2021,Oat,Fallow,0.351854941,0.055566631,-0.197915304,0.036617099,-0.120853693,-0.232421875,-0.744140625,-0.26171875,-0.251953125,0.306640625,0.205078125,0.16015625,-0.08984375,0.12288238783225956,0.4184936309938523,0.25548089298155624,0.13225551991520687
103B_20210708,103B,20210708,7/8/2021,Oat,Post,0.369045804,0.107156702,-0.079942708,0.072160669,-0.037143146,0.166015625,-0.744140625,-0.28515625,-0.126953125,0.306640625,0.205078125,0.16015625,-0.08984375,0.31923259615755567,0.4208091053286299,0.26242731598589025,0.17735152590517808
103C_20210708,103C,20210708,7/8/2021,Oat,Under,0.357265353,0.071805703,-0.150800382,0.047051365,-0.08392521,-0.255859375,-0.807421875,-0.29296875,-0.259765625,0.306640625,0.205078125,0.16015625,-0.08984375,0.2124990355310366,0.41774361882421407,0.2532308564726425,0.15450322628878688
104A_20210708,104A,20210708,7/8/2021,Oat,Fallow,0.346712218,0.040140874,-0.188968924,0.025893786,-0.106508768,-0.255859375,-0.765234375,-0.28515625,-0.205078125,0.306640625,0.205078125,0.16015625,-0.08984375,0.11088981906562247,0.41415463985144596,0.24246391955433796,0.13302139273783303
