Image,Plot,Date,Variety,Cover,Vegetation_Fraction,Green_Avg_Vegetation,EXG_Avg_Vegetation,EXGR_Avg_Vegetation,GLI_Avg_Vegetation,VARI_Avg_Vegetation
101A_20210708,101A,20210708,Oat,Fallow,0.10386426546043748,0.4145016970187084,0.24350509105612542,0.1615433514833849,0.16569879091633852,0.11043147380723757
101B_20210708,101B,20210708,Oat,Post,0.09049190328305236,0.4178327887912592,0.2534983663737777,0.14785404623559695,0.17369992905077505,0.07322833956740489
101C_20210708,101C,20210708,Oat,Under,0.09994852146907912,0.4174605266547692,0.2523815799643071,0.15012703538617592,0.17310410221387196,0.07793510282054969
102A_20210708,102A,20210708,Oat,Fallow,0.06485029030515797,0.4145050420861669,0.2435151262585011,0.1272725317033404,0.16760976890670817,0.06066454701296432
102B_20210708,102B,20210708,Oat,Post,0.10254957370471818,0.4149002024550517,0.24470060736515617,0.14004055225639644,0.1677456484510564,0.07435542478042843
102C_20210708,102C,20210708,Oat,Under,0.08270562478299448,0.4128130198402306,0.23843905952069122,0.1286167930337321,0.16455884418344102,0.06854595771373712
103A_20210708,103A,20210708,Oat,Fallow,0.12288238783225956,0.4184936309938523,0.25548089298155624,0.13225551991520687,0.17634705115287283,0.05212623050661183
103B_20210708,103B,20210708,Oat,Post,0.31923259615755567,0.4208091053286299,0.26242731598589025,0.17735152590517808,0.18027922112976785,0.10309283122366988
103C_20210708,103C,20210708,Oat,Under,0.2124990355310366,0.41774361882421407,0.2532308564726425,0.15450322628878688,0.17460327190438096,0.08396355034755794
104A_20210708,104A,20210708,Oat,Fallow,0.11088981906562247,0.41415463985144596,0.24246391955433796,0.13302139273783303,0.16783771007620474,0.06932838948145703
104B_20210708,104B,20210708,Oat,Post,0.09300735889819066,0.4127380715291518,0.23821421458745592,0.11908020155183935,0.16555326511761484,0.05739477813493839
104C_20210708,104C,20210708,Oat,Under,0.06696609409359207,0.4101663135709638,0.23049894071289145,0.11807867343879443,0.15989434398433192,0.06526020577849927
105A_20210708,105A,20210708,Oat,Fallow,0.238288935612052,0.4154962118105628,0.2464886354316878,0.15433599735451684,0.17053655884059696,0.09486152700598963
105B_20210708,105B,20210708,Oat,Post,0.25143766154855135,0.4120695518060322,0.23620865541809719,0.14782903078348475,0.1637920462752833,0.1001456467386987
105C_20210708,105C,20210708,Oat,Under,0.24473580783920373,0.39666362677378486,0.18999088032135425,0.12127080003548873,0.13240377042512474,0.1382962653242862
106A_20210708,106A,20210708,Soy,Fallow,0.3038909089155511,0.445112745267862,0.3353382358035858,0.3232994933882324,0.22662727657497103,0.20976077653074926
106B_20210708,106B,20210708,Soy,Post,0.4654852725589291,0.4474342986882604,0.34230289606478054,0.3351072510905632,0.23128194395875806,0.21811560613677516
106C_20210708,106C,20210708,Soy,Under,0.41399408298290963,0.44344324460628476,0.33032973381885444,0.32351746657886826,0.22417398982225617,0.22311978922158168
107A_20210708,107A,20210708,Oat,Fallow,0.08774256394429228,0.41031063443314375,0.23093190329943147,0.11455121666018057,0.16010704711051507,0.06004378547027255
107B_20210708,107B,20210708,Oat,Post,0.10556655318081865,0.4129834786832489,0.2389504360497463,0.12081977538168383,0.16528485107110363,0.05797965882426866
107C_20210708,107C,20210708,Oat,Under,0.09010671849079896,0.41464109279633654,0.2439232783890087,0.13490719022184178,0.16724703498194274,0.06844640073713482
108A_20210708,108A,20210708,Oat,Fallow,0.043196153697774006,0.4233855927511547,0.2701567782534647,0.15088584185668943,0.18381852235267193,0.057513830896443636
108B_20210708,108B,20210708,Oat,Post,0.049984809613826627,0.42084811099923997,0.26254433299771884,0.1295566651113884,0.17998350075380148,0.040819824557478006
108C_20210708,108C,20210708,Oat,Under,0.06334149917055669,0.41881863824231996,0.2564559147269602,0.14870292167700805,0.1742874884116738,0.06938255634602325
109A_20210708,109A,20210708,Oat,Fallow,0.17136985938042515,0.4156118900162109,0.2468356700486328,0.1507503789859929,0.17018868321926062,0.08740737699464285
109B_20210708,109B,20210708,Oat,Post,0.1478591200185178,0.4163960280441381,0.24918808413241497,0.14976248366060613,0.17142088128677882,0.08268427924385864
109C_20210708,109C,20210708,Oat,Under,0.1883222097912889,0.413909852960527,0.24172955888158099,0.15528854352617655,0.1660470482787225,0.10076913611140835
110A_20210708,110A,20210708,Oat,Fallow,0.0308340727595386,0.42144773601108465,0.2643432080332548,0.13930833854437083,0.1801700747685818,0.046834887455733325
110B_20210708,110B,20210708,Oat,Post,0.035479196404459706,0.42143821868702613,0.2643146560610789,0.15151463175090277,0.17896132585842672,0.06613311178208596
110C_20210708,110C,20210708,Oat,Under,0.06190745438061803,0.41297029866025153,0.23891089598075463,0.126938882383483,0.16446492512857527,0.0660927170142056
201A_20210708,201A,20210708,Oat,Under,0.07223028625438833,0.4017352006525829,0.2052056019577489,0.09331995044153486,0.14404322443792245,0.06607516973656696
201B_20210708,201B,20210708,Oat,Fallow,0.10728089676324216,0.3978089126899227,0.19342673806976832,0.09231560179503276,0.13631350529416622,0.08266210751595747
201C_20210708,201C,20210708,Oat,Post,0.10576065255970063,0.399119597103293,0.19735879130987866,0.09636315507600347,0.138557893261701,0.08215590254933183
202A_20210708,202A,20210708,Oat,Under,0.2644103718992323,0.4086255646788388,0.225876694036518,0.12817952877709027,0.1580272552654618,0.08766813696774392
202B_20210708,202B,20210708,Oat,Fallow,0.19462260329462597,0.4028588141848102,0.208576442554431,0.11186658126227615,0.14685708706787057,0.08882618817416697
202C_20210708,202C,20210708,Oat,Post,0.28604160236873577,0.4125773530703353,0.2377320592110055,0.15502496381532158,0.16482965579626718,0.10886171859543209
203A_20210708,203A,20210708,Soy,Under,0.5265277188380078,0.45723646563263226,0.3717093968978963,0.3582386247313488,0.2489423096221792,0.19737607844946872
203B_20210708,203B,20210708,Soy,Fallow,0.4558821756490876,0.4470764234888838,0.3412292704666508,0.32446521564021324,0.22946277969101778,0.1980704864725659
203C_20210708,203C,20210708,Soy,Post,0.4936345048416342,0.45256471398511755,0.3576941419553523,0.3471351780329274,0.2410800599296823,0.2065371713291322
204A_20210708,204A,20210708,Oat,Under,0.10169601867211914,0.4078261970813986,0.22347859124419628,0.11491117894844378,0.15535132282466715,0.07037259737957362
204B_20210708,204B,20210708,Oat,Fallow,0.1278843649936345,0.40139193356370884,0.20417580069112629,0.11518331232077121,0.14197326421264594,0.0996385889958084
204C_20210708,204C,20210708,Oat,Post,0.1989325739747695,0.40456857697076426,0.2137057309122928,0.13447508795499147,0.14776787677965705,0.11398576445556705
205A_20210708,205A,20210708,Oat,Under,0.09173305428031325,0.41556633557761546,0.2466990067328464,0.13132534265147117,0.1694951193166275,0.06096166738573094
205B_20210708,205B,20210708,Oat,Fallow,0.11206164885613981,0.41580599120802425,0.24741797362407206,0.13070969256785497,0.17044717698731685,0.05907193169970245
205C_20210708,205C,20210708,Oat,Post,0.1321509345704255,0.4152883381746361,0.24586501452390863,0.1278078068060611,0.16978107333480552,0.058238982565264226
206A_20210708,206A,20210708,Oat,Under,0.07336414007947224,0.4026147381767922,0.20784421453037621,0.10466259437926562,0.1449505186842285,0.07833572359737195
206B_20210708,206B,20210708,Oat,Fallow,0.21299633984028393,0.4191840905386579,0.2575522716159732,0.17205191250114743,0.17744595895467905,0.10208036085039385
206C_20210708,206C,20210708,Oat,Post,0.1462490596427607,0.4080761897152458,0.22422856914573724,0.1280612186578893,0.1554701157959568,0.08811977418810485
207A_20210708,207A,20210708,Oat,Under,0.12626707110065197,0.4022835990197097,0.20685079705912882,0.10799046382781283,0.14506223566697157,0.08529828740401164
207B_20210708,207B,20210708,Oat,Fallow,0.22199905482041588,0.40805844007100184,0.2241753202130063,0.1414405051053132,0.1555431956286927,0.10937702756397229
207C_20210708,207C,20210708,Oat,Post,0.31636932892249525,0.4220288069520292,0.26608642085608786,0.19204395151603185,0.18223989329277335,0.11923651096841786
208A_20210708,208A,20210708,Oat,Under,0.19711696115119015,0.42263583458011,0.2679075037403299,0.1672900513272742,0.18378972123455375,0.08054595819496387
208B_20210708,208B,20210708,Oat,Fallow,0.18146182149608425,0.4200657833435634,0.2601973500306906,0.17533756766822425,0.17691612891389016,0.10206629047987362
208C_20210708,208C,20210708,Oat,Post,0.23882301030052852,0.42184766922020056,0.26554300766060074,0.2032094605842547,0.17958473225427748,0.1351433971397838
209A_20210708,209A,20210708,Oat,Under,0.13084588750434012,0.4200556304178022,0.26016689125340714,0.1527026374373198,0.17777004944125302,0.07114366605515106
209B_20210708,209B,20210708,Oat,Fallow,0.19247605705798387,0.4153622609935527,0.24608678298065761,0.15207981048660563,0.16889083364934615,0.08951368210628097
209C_20210708,209C,20210708,Oat,Post,0.13243304174221673,0.418577353348718,0.2557320600461544,0.14394385300705667,0.17541336191511875,0.06554867589470639
210A_20210708,210A,20210708,Oat,Under,0.22567729832953975,0.4008325004833415,0.20249750145002415,0.1378337325364603,0.1397827307140274,0.1408536140669782
210B_20210708,210B,20210708,Oat,Fallow,0.37259244435014083,0.41741783454561365,0.2522535036368411,0.19056786250263102,0.17288148131529207,0.14055106316024438
210C_20210708,210C,20210708,Oat,Post,0.3610549843756028,0.3967341750618964,0.19020252518568886,0.15368214132698874,0.13149177519104244,0.2083973003465848
301A_20210708,301A,20210708,Oat,Post,0.06470622275375179,0.4159299324194209,0.24778979725826222,0.13148475549748218,0.170436108786343,0.059475458412916314
301B_20210708,301B,20210708,Oat,Fallow,0.06330593437753174,0.4146861805723665,0.24405854171709845,0.1228192811197048,0.1682873882286612,0.052929043588509805
301C_20210708,301C,20210708,Oat,Under,0.09007296207708036,0.4168490533050509,0.2505471599151528,0.13533755046533139,0.17202515967513257,0.06130481694530621
302A_20210708,302A,20210708,Oat,Post,0.13605643107904788,0.4152873896129631,0.2458621688388892,0.1386504136787734,0.16962724091449835,0.07158997091352866
302B_20210708,302B,20210708,Oat,Fallow,0.15335177076501677,0.4170748473431098,0.2512245420293293,0.1485141208322642,0.1728862487848503,0.07803166824791485
302C_20210708,302C,20210708,Oat,Under,0.1477216831912349,0.41618794095604594,0.2485638228681372,0.1441068809381809,0.1711493407031686,0.0756985612355613
303A_20210708,303A,20210708,Soy,Post,0.2956374657613518,0.4540852985679593,0.3622558957038776,0.35216242117972957,0.24233381104751311,0.20661423151882896
303B_20210708,303B,20210708,Soy,Fallow,0.46645396107403264,0.4715786058595757,0.4147358175787274,0.4132374192847722,0.2756307532872862,0.20789829553672703
303C_20210708,303C,20210708,Soy,Under,0.4900858618494657,0.4530681740670027,0.35920452220100807,0.3654124067947185,0.24083192406311427,0.23579218797234386
304A_20210708,304A,20210708,Oat,Post,0.08981014428455693,0.4072970786783365,0.2218912360350098,0.11518724730538311,0.1542485147038088,0.07382926026906078
304B_20210708,304B,20210708,Oat,Fallow,0.09155583310829057,0.4046333805318725,0.21390014159561774,0.10176143857494331,0.14938318374861884,0.06521479223032632
304C_20210708,304C,20210708,Oat,Under,0.12068520697503954,0.41428206562148634,0.24284619686445905,0.11084311171619081,0.16906648868155577,0.04155537547237376
305A_20210708,305A,20210708,Oat,Post,0.14490362543883337,0.41329467847592005,0.2398840354277611,0.1279051938405268,0.1662110494225737,0.06594037310690452
305B_20210708,305B,20210708,Oat,Fallow,0.1562096128621581,0.4138656609095404,0.2415969827286211,0.13941523952122514,0.16690798196042878,0.07943931769140969
305C_20210708,305C,20210708,Oat,Under,0.22197132633771846,0.41376707779282534,0.24130123337847573,0.15198492781008197,0.1665538538276671,0.09813464635426543
306A_20210708,306A,20210708,Oat,Post,0.11777974422283091,0.3986877300459468,0.19606319013784085,0.09943068501069142,0.13774419622003753,0.08980074416842744
306B_20210708,306B,20210708,Oat,Fallow,0.21226454901431271,0.40210154973238865,0.20630464919716632,0.12231838765069447,0.14485391709921097,0.11023928007873678
306C_20210708,306C,20210708,Oat,Under,0.22323598626596197,0.4150958605399845,0.24528758161995337,0.14684092871773158,0.17000893590061048,0.08552124327072916
307A_20210708,307A,20210708,Oat,Post,0.1916315439219166,0.413071499674103,0.23921449902230896,0.1502607351431639,0.16450951935101113,0.097702988685046
307B_20210708,307B,20210708,Oat,Fallow,0.12751304444272984,0.4082709995747273,0.22481299872418128,0.12683800841622245,0.15534123464549715,0.08608935529868146
307C_20210708,307C,20210708,Oat,Under,0.2010857509355349,0.41421309337734147,0.24263928013202415,0.15338924223165842,0.16757725588439815,0.09779328485094081
