Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,Predicted_ALL_MODE,Predicted_ZERO_MODE,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value,Predicted_GLOBAL_ZERO_MODE
0,0,0,1095,1051,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0.005882352941176394,-0.22431372549019607,0.004405286343612335,-0.14344262295081966,0.403921568627451,0.3352941176470588,0.2607843137254902,0
1,1,1,64,613,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.30487804878048785,-0.8414634146341463,-0.24752475247524752,-0.5652173913043478,0.5487804878048781,0.23170731707317074,0.21951219512195122,0
2,2,2,172,492,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0.016877637130801648,-0.1324894514767932,0.012605042016806723,-0.026217228464419477,0.3488045007032349,0.3389592123769339,0.31223628691983124,0
3,3,3,281,623,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0.00840336134453784,-0.12605042016806728,0.006289308176100629,0.0,0.33613445378151263,0.33613445378151263,0.3277310924369748,0
4,4,4,22,1258,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0.005256241787122196,-0.12877792378449404,0.003937007874015748,0.0,0.33508541392904073,0.33508541392904073,0.32982917214191854,0
5,5,5,363,187,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.19580419580419578,0.08531468531468539,0.14,0.06666666666666667,0.36363636363636365,0.3986013986013986,0.23776223776223776,1
6,6,6,652,780,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-0.03455723542116629,-0.2479481641468681,-0.026143790849673203,-0.14814814814814814,0.38228941684665224,0.32181425485961124,0.2958963282937365,0
7,7,7,83,76,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-0.06999999999999998,-0.42499999999999993,-0.05343511450381679,-0.2894736842105263,0.475,0.31,0.215,0
8,8,8,183,1053,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0.031476997578692434,-0.1535108958837773,0.023423423423423424,-0.07650273224043716,0.37772397094430993,0.34382566585956414,0.2784503631961259,0
9,9,9,765,236,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.21590909090909094,-0.6386363636363636,-0.17117117117117117,-0.45454545454545453,0.48863636363636365,0.26136363636363635,0.25,0
10,10,10,1078,895,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0.07608695652173914,-0.047101449275362306,0.056,0.03571428571428571,0.3442028985507246,0.358695652173913,0.2971014492753623,0
11,11,11,315,671,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-0.02904564315352698,-0.22240663900414936,-0.0219435736677116,-0.11827956989247312,0.36929460580912865,0.3236514522821577,0.3070539419087137,0
12,12,12,574,1156,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0.03296703296703296,-0.14065934065934083,0.02452316076294278,-0.05982905982905983,0.36996336996337,0.3443223443223443,0.2857142857142857,0
13,13,13,266,1114,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0.020618556701030966,-0.11546391752577323,0.015384615384615385,0.0,0.3402061855670103,0.3402061855670103,0.31958762886597936,0
14,14,14,637,1095,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0.00500000000000006,-0.17799999999999988,0.003745318352059925,-0.08536585365853659,0.37,0.335,0.295,0
15,15,15,834,395,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0.02347417840375582,-0.16776212832550863,0.01750291715285881,-0.08833922261484099,0.38028169014084506,0.3411580594679186,0.27856025039123633,0
16,16,16,373,261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.3100000000000001,0.2413793103448276,0.16666666666666666,0.35,0.45,0.2,1
17,17,17,758,58,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0.0517241379310345,-0.160919540229885,0.03829787234042553,-0.10227272727272728,0.40229885057471265,0.3505747126436782,0.2471264367816092,0
18,18,18,97,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6326530612244898,-1.6816326530612247,-0.5636363636363636,-0.7777777777777778,0.8367346938775511,0.12244897959183673,0.04081632653061224,0
19,19,19,997,1015,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0.11538461538461542,-0.015384615384615274,0.08411214953271028,0.027777777777777776,0.358974358974359,0.3717948717948718,0.2692307692307692,0
20,20,20,607,687,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0.059556786703601095,-0.08171745152354576,0.044012282497441144,0.0,0.35318559556786705,0.35318559556786705,0.29362880886426596,0
21,21,21,277,774,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-0.040441176470588314,-0.3897058823529412,-0.03064066852367688,-0.2654320987654321,0.47794117647058826,0.31985294117647056,0.20220588235294118,0
22,22,22,319,704,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0.056092843326885855,-0.10638297872340435,0.04148783977110158,-0.03524229074889868,0.36750483558994196,0.3520309477756286,0.2804642166344294,0
23,23,23,912,1131,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0.07357859531772573,-0.15384615384615388,0.054187192118226604,-0.10909090909090909,0.4180602006688963,0.35785953177257523,0.22408026755852842,0
24,24,24,1266,595,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0.057046979865771785,-0.09328859060402683,0.04218362282878412,-0.015873015873015872,0.35906040268456374,0.3523489932885906,0.28859060402684567,0
25,25,25,544,624,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0.03139717425431704,-0.15886970172684456,0.02336448598130841,-0.08362369337979095,0.3814756671899529,0.34379905808477235,0.27472527472527475,0
26,26,26,432,568,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0.09523809523809523,-0.02857142857142858,0.06976744186046512,0.037037037037037035,0.3492063492063492,0.36507936507936506,0.2857142857142857,0
27,27,27,380,1087,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.15213358070500926,0.03747680890538041,0.10991957104557641,0.05791505791505792,0.3562152133580705,0.38404452690166974,0.2597402597402597,1
28,28,28,1232,657,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-0.0683760683760683,-0.30427350427350414,-0.05217391304347826,-0.19858156028368795,0.3903133903133903,0.31054131054131057,0.29914529914529914,0
29,29,29,959,1266,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0.06511627906976747,-0.08992248062015495,0.04805491990846682,-0.02120141342756184,0.3643410852713178,0.3550387596899225,0.2806201550387597,0
