Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,Predicted_ALL_MODE,Predicted_ZERO_MODE,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value,Predicted_GLOBAL_ZERO_MODE
0,0,0,831,1106,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.14599999999999996,0.0491999999999998,0.10564399421128799,0.08928571428571429,0.342,0.382,0.276,1
1,1,1,25,523,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.08500000000000002,-0.08300000000000007,0.06242350061199511,-0.034722222222222224,0.37833333333333335,0.3616666666666667,0.26,0
2,2,2,1130,833,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.1713483146067416,0.07808988764044944,0.12323232323232323,0.09523809523809523,0.3455056179775281,0.3904494382022472,0.2640449438202247,1
3,3,3,765,945,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7318181818181817,0.87,0.46397694524495675,0.3372093023255814,0.31363636363636366,0.5772727272727273,0.10909090909090909,1
4,4,4,441,1148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4659949622166246,0.47858942065491183,0.3130287648054145,0.2260536398467433,0.34005037783375314,0.48866498740554154,0.1712846347607053,1
5,5,5,602,455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0857142857142856,1.407619047619047,0.6404494382022472,0.4639175257731959,0.26666666666666666,0.6952380952380952,0.0380952380952381,1
6,6,6,1180,1009,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.1317365269461077,0.005988023952095689,0.09565217391304348,0.0379746835443038,0.3592814371257485,0.3772455089820359,0.2634730538922156,1
7,7,7,535,996,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.353515625,0.298828125,0.24360699865410498,0.14375,0.361328125,0.451171875,0.1875,1
8,8,8,1057,292,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.1936339522546419,-0.050928381962864616,0.13851992409867173,-0.08550185873605948,0.4588859416445623,0.3978779840848806,0.14323607427055704,0
9,9,9,1094,558,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.41891891891891897,0.3810810810810811,0.28440366972477066,0.16,0.36486486486486486,0.47297297297297297,0.16216216216216217,1
10,10,10,815,320,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.485981308411215,0.588785046728972,0.325,0.3898305084745763,0.2803738317757009,0.4953271028037383,0.22429906542056074,1
11,11,11,1230,214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7884615384615384,0.8192307692307691,0.4939759036144578,0.19230769230769232,0.40384615384615385,0.5961538461538461,0.0,1
12,12,12,1069,945,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0.10334346504559278,-0.031003039513677555,0.07555555555555556,0.020134228187919462,0.3586626139817629,0.3677811550151976,0.2735562310030395,0
13,13,13,953,1223,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0.12162162162162166,-0.002702702702702564,0.08852459016393442,0.0392156862745098,0.35585585585585583,0.3738738738738739,0.2702702702702703,0
14,14,14,777,847,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6040462427745664,0.677456647398844,0.3935969868173258,0.28174603174603174,0.32947976878612717,0.5346820809248555,0.13583815028901733,1
15,15,15,1157,486,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.21052631578947362,0.13263157894736843,0.15,0.12056737588652482,0.34385964912280703,0.40350877192982454,0.25263157894736843,1
16,16,16,945,1248,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.03278688524590162,-0.190983606557377,0.024390243902439025,-0.12295081967213115,0.4057377049180328,0.3442622950819672,0.25,0
17,17,17,171,578,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0.1217838765008577,-0.025385934819897038,0.08863920099875156,0.003484320557491289,0.37221269296740994,0.37392795883361923,0.2538593481989708,0
18,18,18,555,599,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3658536585365853,0.38861788617886167,0.25139664804469275,0.27692307692307694,0.3089430894308943,0.45528455284552843,0.23577235772357724,1
