Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value
0,474,575,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.040752351097178674,-0.2520376175548589,-0.030878859857482184,-0.14960629921259844,0.3793103448275862,0.31974921630094044,0.30094043887147337
1,356,265,0,1,1,1,1,0,0,0,1,1,0,1,0,0.018957345971563955,-0.14786729857819902,0.014150943396226415,-0.054901960784313725,0.3617693522906793,0.33965244865718797,0.2985781990521327
2,374,579,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.05769230769230771,-0.26410256410256416,-0.04390243902439024,-0.15517241379310345,0.3717948717948718,0.3141025641025641,0.3141025641025641
3,547,1265,0,1,1,1,1,0,0,0,1,1,1,1,1,0.13152804642166338,0.07543520309477736,0.09550561797752809,0.18134715025906736,0.30947775628626695,0.3771760154738878,0.31334622823984526
4,1279,283,0,1,1,1,1,0,0,0,1,1,1,1,1,0.10714285714285715,0.04285714285714287,0.0782608695652174,0.16666666666666666,0.30952380952380953,0.36904761904761907,0.32142857142857145
5,808,765,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.01785714285714285,-0.15297619047619038,-0.013452914798206279,-0.009433962264150943,0.33035714285714285,0.3273809523809524,0.34226190476190477
6,398,280,0,1,1,1,1,0,0,0,0,1,0,1,0,0.20000000000000007,-0.23999999999999977,0.14285714285714285,-0.2,0.6,0.4,0.0
7,319,301,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.007518796992481203,-0.18195488721804504,-0.005649717514124294,-0.0784313725490196,0.3609022556390977,0.3308270676691729,0.3082706766917293
8,619,334,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.02890173410404623,-0.2635838150289017,-0.021834061135371178,-0.16883116883116883,0.3988439306358382,0.3236994219653179,0.2774566473988439
9,784,392,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.020134228187919434,-0.18523489932885906,-0.01517706576728499,-0.06918238993710692,0.3512304250559284,0.32662192393736017,0.3221476510067114
10,271,403,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.09324758842443737,-0.3266881028938908,-0.07160493827160494,-0.21739130434782608,0.38263665594855306,0.3022508038585209,0.31511254019292606
11,388,1008,1,1,1,1,1,0,0,0,1,1,0,1,0,0.03179190751445088,-0.11387283236994228,0.023655913978494623,-0.014925373134328358,0.34971098265895956,0.3439306358381503,0.3063583815028902
12,862,1031,0,1,1,1,1,0,0,0,1,1,0,1,1,0.011999999999999955,-0.12106666666666666,0.00897308075772682,0.0038461538461538464,0.336,0.3373333333333333,0.32666666666666666
13,128,34,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.08520179372197306,-0.33273542600896855,-0.06529209621993128,-0.2247191011235955,0.39461883408071746,0.30493273542600896,0.3004484304932735
14,178,894,1,1,1,1,1,0,0,0,1,1,0,1,0,0.01874999999999999,-0.13749999999999996,0.013996889580093312,-0.03763440860215054,0.3541666666666667,0.33958333333333335,0.30625
15,1155,327,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.08695652173913043,-0.33043478260869563,-0.06666666666666667,-0.2222222222222222,0.391304347826087,0.30434782608695654,0.30434782608695654
16,1036,1142,1,1,1,1,1,0,1,1,1,1,1,1,1,0.2518518518518518,0.240493827160494,0.17770034843205576,0.24861878453038674,0.30617283950617286,0.41728395061728396,0.2765432098765432
17,106,571,0,1,1,1,1,0,0,0,1,1,0,1,1,0.005319148936170248,-0.12375886524822705,0.00398406374501992,0.010638297872340425,0.33156028368794327,0.3351063829787234,0.3333333333333333
18,649,1,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.010309278350515483,-0.15189003436426113,-0.007751937984496124,-0.020618556701030927,0.33676975945017185,0.32989690721649484,0.3333333333333333
19,1119,327,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.04747774480712158,-0.22433234421364961,-0.036036036036036036,-0.10434782608695652,0.35311572700296734,0.31750741839762614,0.3293768545994065
20,620,23,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.029816513761467878,-0.223394495412844,-0.022530329289428077,-0.11904761904761904,0.36926605504587157,0.32339449541284404,0.3073394495412844
21,1245,1206,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.04424778761061948,-0.2769911504424779,-0.03355704697986577,-0.17708333333333334,0.3938053097345133,0.3185840707964602,0.28761061946902655
22,956,839,0,1,1,1,1,0,0,0,1,1,0,1,0,0.005649717514124297,-0.13107344632768358,0.004231311706629055,-0.00546448087431694,0.3370998116760829,0.3352165725047081,0.327683615819209
23,1192,101,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.016891891891891886,-0.20945945945945932,-0.01272264631043257,-0.11016949152542373,0.3716216216216216,0.3277027027027027,0.30067567567567566
