Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value
0,248,216,1,0,0,0,1,1,1,1,1,1,1,1,1,0.5294117647058824,0.6754901960784313,0.35064935064935066,0.4636363636363636,0.25980392156862747,0.5098039215686274,0.23039215686274508
1,747,1176,1,0,0,0,1,1,1,1,1,1,1,1,1,0.5039999999999999,0.5573333333333333,0.33570159857904086,0.2821576763485477,0.32,0.5013333333333333,0.17866666666666667
2,255,733,0,0,0,0,1,1,1,1,1,1,1,1,1,0.5,0.496,0.3333333333333333,0.19444444444444445,0.36,0.5,0.14
3,191,847,1,0,0,0,1,1,1,1,1,1,1,1,1,0.31818181818181823,0.2781818181818182,0.22105263157894736,0.17204301075268819,0.3424242424242424,0.4393939393939394,0.21818181818181817
4,795,1082,0,0,0,0,1,1,1,1,1,1,1,1,1,0.537190082644628,0.6909090909090907,0.3551912568306011,0.47692307692307695,0.256198347107438,0.512396694214876,0.23140495867768596
5,838,912,1,0,0,0,1,1,1,1,1,1,1,1,1,0.3086734693877551,0.2556122448979591,0.21492007104795738,0.15178571428571427,0.3494897959183674,0.4362244897959184,0.21428571428571427
6,980,1265,1,0,0,0,1,0,0,0,1,1,1,1,1,0.15127388535031855,0.062420382165605304,0.1093210586881473,0.10431654676258993,0.3375796178343949,0.3837579617834395,0.2786624203821656
7,1230,1213,1,0,0,0,1,1,1,1,1,1,1,1,1,0.4840425531914894,0.5617021276595746,0.3238434163701068,0.33636363636363636,0.2978723404255319,0.4946808510638298,0.2074468085106383
8,1253,190,0,0,0,0,0,0,0,0,1,1,1,1,1,0.15384615384615385,0.021538461538461617,0.1111111111111111,0.030303030303030304,0.36923076923076925,0.38461538461538464,0.24615384615384617
9,900,49,1,0,0,0,1,1,1,1,1,1,1,1,1,0.47148288973384017,0.4403041825095057,0.3163265306122449,0.16230366492146597,0.3726235741444867,0.49049429657794674,0.13688212927756654
10,521,150,1,0,0,0,1,0,0,0,1,1,1,1,1,0.20853080568720378,0.16018957345971557,0.14864864864864866,0.17894736842105263,0.3222748815165877,0.4028436018957346,0.27488151658767773
11,680,169,0,0,0,0,0,1,1,1,1,1,1,1,1,0.33333333333333337,0.24197530864197536,0.23076923076923078,0.09433962264150944,0.38271604938271603,0.4444444444444444,0.1728395061728395
12,1132,1037,1,0,0,0,1,1,1,1,1,1,1,1,1,0.3517241379310345,0.3517241379310345,0.24247226624405704,0.23628691983122363,0.3218390804597701,0.45057471264367815,0.22758620689655173
13,801,548,1,0,0,0,1,0,1,1,1,1,1,1,1,0.27486437613019893,0.21121157323688983,0.19289340101522842,0.13861386138613863,0.34900542495479203,0.42495479204339964,0.22603978300180833
14,1188,1250,1,0,0,0,1,1,1,1,1,1,1,1,1,0.5243243243243243,0.5632432432432433,0.34767025089605735,0.25196850393700787,0.33513513513513515,0.5081081081081081,0.15675675675675677
15,854,226,1,0,0,1,0,1,1,1,1,1,1,1,1,0.6363636363636362,0.5454545454545454,0.4117647058823529,0.09090909090909091,0.45454545454545453,0.5454545454545454,0.0
16,518,203,0,0,0,0,0,0,0,0,1,1,0,1,1,0.03378378378378377,-0.10216216216216206,0.02512562814070352,0.0035971223021582736,0.34324324324324323,0.34459459459459457,0.31216216216216214
17,17,825,1,0,0,0,1,1,1,1,1,1,1,1,1,0.5454545454545454,0.6929292929292928,0.36,0.45454545454545453,0.26262626262626265,0.5151515151515151,0.2222222222222222
18,285,123,0,1,0,1,1,1,1,1,1,1,1,1,1,0.8387096774193548,1.1505376344086022,0.52,0.6065573770491803,0.21505376344086022,0.6129032258064516,0.17204301075268819
19,628,33,0,0,0,0,0,0,0,0,1,1,1,1,1,0.13571428571428573,0.0242857142857143,0.09844559585492228,0.0625,0.35,0.37857142857142856,0.2714285714285714
20,264,481,1,0,0,0,1,1,1,1,1,1,1,1,1,0.41101694915254244,0.46610169491525427,0.27953890489913547,0.3253968253968254,0.2966101694915254,0.4703389830508475,0.2330508474576271
21,1217,1228,1,0,0,0,1,1,1,1,1,1,1,1,1,0.5666666666666667,0.7622222222222224,0.3722627737226277,0.5652173913043478,0.23333333333333334,0.5222222222222223,0.24444444444444444
22,283,797,1,0,0,1,1,1,1,1,1,1,1,1,1,0.7142857142857142,0.7453634085213032,0.45454545454545453,0.20273972602739726,0.38596491228070173,0.5714285714285714,0.042606516290726815
23,938,12,1,0,0,0,1,1,1,1,1,1,1,1,1,0.5352112676056338,0.6065727699530514,0.35403726708074534,0.302158273381295,0.3145539906103286,0.5117370892018779,0.17370892018779344
24,630,1270,1,0,0,1,1,1,1,1,1,1,1,1,1,0.6521739130434783,0.83768115942029,0.4205607476635514,0.46511627906976744,0.2608695652173913,0.5507246376811594,0.18840579710144928
25,1137,1130,0,0,0,0,0,0,0,0,1,1,1,1,1,0.125,0.02749999999999997,0.09090909090909091,0.08823529411764706,0.3375,0.375,0.2875
26,703,934,1,0,0,0,0,0,0,0,1,1,1,1,1,0.17151607963246557,0.049617151607963206,0.12334801762114538,0.04776119402985075,0.3660030627871363,0.3905053598774885,0.2434915773353752
27,184,36,1,0,0,0,1,1,1,1,1,1,1,1,1,0.42622950819672123,0.48852459016393446,0.28888888888888886,0.3333333333333333,0.29508196721311475,0.47540983606557374,0.22950819672131148
28,829,101,1,0,0,0,1,1,1,1,1,1,1,1,1,0.3090909090909091,0.29454545454545455,0.21518987341772153,0.22110552763819097,0.3220779220779221,0.43636363636363634,0.24155844155844156
29,136,953,1,0,0,0,1,0,1,0,1,1,1,1,1,0.21621621621621628,0.20540540540540536,0.15384615384615385,0.26666666666666666,0.2972972972972973,0.40540540540540543,0.2972972972972973
