Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value
0,950,409,0,0,1,1,1,0,0,0,1,1,0,1,1,0.03125,-0.10078124999999993,0.023255813953488372,0.010638297872340425,0.33984375,0.34375,0.31640625
1,1006,969,0,0,1,1,0,0,0,0,0,1,0,1,0,0.02197802197802201,-0.2296703296703297,0.01639344262295082,-0.15625,0.4230769230769231,0.34065934065934067,0.23626373626373626
2,1200,524,0,0,1,1,0,0,0,0,0,1,0,1,0,0.005494505494505475,-0.25934065934065925,0.00411522633744856,-0.17708333333333334,0.42857142857142855,0.33516483516483514,0.23626373626373626
3,233,427,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.7755575615628914e-17,-0.2828478964401293,0.0,-0.1952662721893491,0.4401294498381877,0.3333333333333333,0.22653721682847897
4,436,366,1,0,1,1,1,0,0,0,1,1,0,1,0,0.06363636363636366,-0.09727272727272712,0.04697986577181208,-0.030612244897959183,0.36818181818181817,0.35454545454545455,0.2772727272727273
5,768,1220,1,0,1,1,1,0,0,0,1,1,0,1,0,0.05044510385756673,-0.13115727002967348,0.03736263736263736,-0.06451612903225806,0.3798219584569733,0.35014836795252224,0.27002967359050445
6,86,80,0,0,1,1,1,0,0,0,0,1,0,1,0,0.013937282229965153,-0.17979094076655056,0.010416666666666666,-0.096,0.3797909407665505,0.33797909407665505,0.28222996515679444
7,238,174,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.0394088669950739,-0.29162561576354673,-0.029850746268656716,-0.1935483870967742,0.4088669950738916,0.32019704433497537,0.270935960591133
8,521,1242,1,1,1,1,1,0,0,0,1,1,0,1,1,0.07794676806083656,-0.0365019011406843,0.057342657342657345,0.052884615384615384,0.33840304182509506,0.3593155893536122,0.30228136882129275
9,737,141,0,0,1,1,0,0,0,0,0,1,0,1,0,0.017857142857142905,-0.2595238095238096,0.013333333333333334,-0.18085106382978725,0.44047619047619047,0.3392857142857143,0.22023809523809523
10,458,370,1,0,1,1,0,0,0,0,0,0,0,0,0,-0.007968127490039889,-0.35219123505976085,-0.005988023952095809,-0.24203821656050956,0.4820717131474104,0.33067729083665337,0.18725099601593626
11,35,1195,0,1,1,1,1,0,0,0,1,1,0,1,0,0.07272727272727281,-0.1084848484848484,0.05357142857142857,-0.05625,0.38484848484848483,0.3575757575757576,0.25757575757575757
12,263,1003,0,1,1,1,1,0,0,0,1,1,0,1,0,0.11235955056179775,-0.04119850187265922,0.08196721311475409,-0.007633587786259542,0.37453183520599254,0.3707865168539326,0.2546816479400749
13,1236,406,1,1,1,1,1,0,0,0,1,1,0,1,0,0.11386138613861385,-0.048514851485148336,0.08303249097472924,-0.0196078431372549,0.3811881188118812,0.3712871287128713,0.24752475247524752
14,1239,675,0,0,1,1,1,0,0,0,0,1,0,1,0,0.03147699757869249,-0.17384987893462467,0.023423423423423424,-0.10256410256410256,0.3922518159806295,0.34382566585956414,0.2639225181598063
15,159,809,1,1,1,1,1,0,0,1,1,1,1,1,1,0.2299168975069253,0.13961218836565104,0.16306483300589392,0.09844559585492228,0.3573407202216066,0.4099722991689751,0.23268698060941828
16,173,897,0,0,1,1,1,0,0,0,1,1,0,1,0,0.056994818652849666,-0.11658031088082904,0.0421455938697318,-0.05113636363636364,0.3756476683937824,0.35233160621761656,0.27202072538860106
17,682,609,0,0,1,1,1,0,0,0,0,0,0,0,0,-0.003773584905660432,-0.2105660377358491,-0.0028328611898017,-0.12173913043478261,0.3849056603773585,0.3320754716981132,0.2830188679245283
18,657,713,0,0,1,1,1,0,0,0,0,1,0,1,0,0.024390243902439046,-0.1902439024390244,0.01818181818181818,-0.11678832116788321,0.397212543554007,0.34146341463414637,0.2613240418118467
