order,plot,row,image_label
1,101,alabel,101alabel
2,101,a,101a
3,101,b,101b
4,101,c,101c
5,301,a,301a
6,301,b,301b
7,301,c,301c
8,302,clabel,302clabel
9,302,c,302c
10,302,b,302b
11,302,a,302a
12,102,c,102c
13,102,b,102b
14,102,a,102a
15,103,alabel,103alabel
16,103,a,103a
17,103,b,103b
18,103,c,103c
19,303,a,303a
20,303,b,303b
21,303,c,303c
22,304,clabel,304clabel
23,304,c,304c
24,304,b,304b
25,304,a,304a
26,104,c,104c
27,104,b,104b
28,104,a,104a
29,105,alabel,105alabel
30,105,a,105a
31,105,b,105b
32,105,c,105c
33,305,a,305a
34,305,b,305b
35,305,c,305c
36,306,clabel,306clabel
37,306,c,306c
38,306,b,306b
39,306,a,306a
40,106,c,106c
41,106,b,106b
42,106,a,106a
43,107,alabel,107alabel
44,107,a,107a
45,107,b,107b
46,107,c,107c
47,307,a,307a
48,307,b,307b
49,307,c,307c
50,308,clabel,308clabel
51,308,c,308c
52,308,b,308b
53,308,a,308a
54,108,c,108c
55,108,b,108b
56,108,a,108a
57,109,alabel,109alabel
58,109,a,109a
59,109,b,109b
60,109,c,109c
61,309,a,309a
62,309,b,309b
63,309,c,309c
64,310,clabel,310clabel
65,310,c,310c
66,310,b,310b
67,310,a,310a
68,110,c,110c
69,110,b,110b
70,110,a,110a
71,201,alabel,201alabel
72,201,a,201a
73,201,b,201b
74,201,c,201c
75,401,a,401a
76,401,b,401b
77,401,c,401c
78,402,clabel,402clabel
79,402,c,402c
80,402,b,402b
81,402,a,402a
82,202,c,202c
83,202,b,202b
84,202,a,202a
85,203,alabel,203alabel
86,203,a,203a
87,203,b,203b
88,203,c,203c
89,403,a,403a
90,403,b,403b
91,403,c,403c
92,404,clabel,404clabel
93,404,c,404c
94,404,b,404b
95,404,a,404a
96,204,c,204c
97,204,b,204b
98,204,a,204a
99,205,alabel,205alabel
100,205,a,205a
101,205,b,205b
102,205,c,205c
103,405,a,405a
104,405,b,405b
105,405,c,405c
106,406,clabel,406clabel
107,406,c,406c
108,406,b,406b
109,406,a,406a
110,206,c,206c
111,206,b,206b
112,206,a,206a
113,207,alabel,207alabel
114,207,a,207a
115,207,b,207b
116,207,c,207c
117,407,a,407a
118,407,b,407b
119,407,c,407c
120,408,clabel,408clabel
121,408,c,408c
122,408,b,408b
123,408,a,408a
124,208,c,208c
125,208,b,208b
126,208,a,208a
127,209,alabel,209alabel
128,209,a,209a
129,209,b,209b
130,209,c,209c
131,409,a,409a
132,409,b,409b
133,409,c,409c
134,410,clabel,410clabel
135,410,c,410c
136,410,b,410b
137,410,a,410a
138,210,c,210c
139,210,b,210b
140,210,a,210a
